city,attribute,r2_var,r2_lstm,mae_var,mae_lstm,rmse_var,rmse_lstm
Tianjin,ESV,0.7988,0.7239,0.136,0.1452,0.158,0.1762
Tianjin,GCBA,0.7471,0.6942,0.1695,0.1976,0.2032,0.2481
Tianjin,GDP,0.8067,0.7279,0.1541,0.1823,0.1975,0.2109
Tianjin,GSA,0.7476,0.6789,0.1713,0.1953,0.1998,0.21
Tianjin,HETeach,0.7711,0.7221,0.1728,0.1913,0.205,0.2271
Tianjin,LFE,0.762,0.7129,0.1435,0.1686,0.171,0.1836
Tianjin,PD,0.7413,0.6797,0.209,0.2406,0.2702,0.2994
Tianjin,PIV,0.8088,0.761,0.1519,0.1804,0.1904,0.2358
Tianjin,PRA,0.7779,0.727,0.128,0.1384,0.1491,0.1681
Tianjin,Phys,0.786,0.708,0.1765,0.188,0.2034,0.2274
Tianjin,SIV,0.7931,0.7135,0.1311,0.1477,0.1689,0.1956
Tianjin,TIV,0.886,0.8431,0.0679,0.0802,0.0841,0.0935
Tianjin,Teach,0.7585,0.7039,0.1508,0.178,0.1807,0.2166
Tianjin,UR,0.8063,0.7523,0.155,0.1644,0.1884,0.2157
Tianjin,URate,0.8053,0.7508,0.1491,0.1625,0.1818,0.1927
Shijiazhuang,AW,0.7025,0.6314,0.2354,0.2621,0.3069,0.3482
Shijiazhuang,Beds,0.7126,0.6507,0.215,0.2388,0.2564,0.2858
Shijiazhuang,Bus,0.6968,0.6545,0.2252,0.2393,0.2758,0.2958
Shijiazhuang,DEU,0.6805,0.6384,0.2421,0.2654,0.2956,0.3307
Shijiazhuang,DWU,0.6788,0.6057,0.2491,0.2989,0.29,0.3223
Shijiazhuang,ERV,0.8695,0.812,0.072,0.0776,0.0895,0.0977
Shijiazhuang,ESV,0.6395,0.5677,0.3002,0.3343,0.3766,0.4355
Shijiazhuang,GCBA,0.6492,0.5762,0.2125,0.2509,0.2477,0.3046
Shijiazhuang,GDP,0.7556,0.6886,0.1993,0.2374,0.2367,0.2711
Shijiazhuang,GSA,0.672,0.6206,0.2087,0.2357,0.2723,0.309
Shijiazhuang,HETeach,0.6996,0.6458,0.2106,0.228,0.2741,0.3018
Shijiazhuang,LFE,0.6195,0.5607,0.242,0.284,0.3141,0.3421
Shijiazhuang,PD,0.681,0.6301,0.1857,0.2156,0.235,0.2621
Shijiazhuang,PIV,0.7191,0.6673,0.238,0.2599,0.2987,0.3313
Shijiazhuang,PRA,0.6858,0.6176,0.1916,0.2261,0.2464,0.2767
Shijiazhuang,Phys,0.6852,0.639,0.1898,0.2165,0.2372,0.2612
Shijiazhuang,SIV,0.6985,0.6556,0.2192,0.2377,0.2569,0.3004
Shijiazhuang,TIV,0.8695,0.8285,0.0817,0.0874,0.1069,0.1301
Shijiazhuang,Teach,0.6937,0.6515,0.1929,0.2173,0.2601,0.2976
Shijiazhuang,UR,0.7164,0.6369,0.1761,0.1983,0.2348,0.2735
Shijiazhuang,URate,0.7213,0.6479,0.1896,0.1994,0.2361,0.2739
Tangshan,AW,0.7681,0.7241,0.1372,0.1548,0.1727,0.1965
Tangshan,Beds,0.7782,0.7177,0.1466,0.1612,0.189,0.2313
Tangshan,Bus,0.7428,0.6948,0.211,0.2358,0.2523,0.2881
Tangshan,DEU,0.7818,0.7097,0.1575,0.1826,0.1899,0.2343
Tangshan,DWU,0.7267,0.6584,0.1893,0.2227,0.2265,0.276
Tangshan,ERV,0.8719,0.8078,0.0859,0.0958,0.1019,0.1149
Tangshan,ESV,0.7644,0.7043,0.1971,0.2335,0.2487,0.3076
Tangshan,GCBA,0.7124,0.6509,0.2192,0.2595,0.2713,0.2968
Tangshan,GDP,0.7871,0.7395,0.1544,0.1808,0.1898,0.2355
Tangshan,GSA,0.7315,0.6906,0.2024,0.2301,0.2449,0.2805
Tangshan,HETeach,0.7454,0.705,0.2037,0.2401,0.2354,0.2586
Tangshan,LFE,0.7577,0.7109,0.1899,0.2272,0.2191,0.2696
Tangshan,PD,0.7151,0.6407,0.2392,0.2598,0.3058,0.3715
Tangshan,PIV,0.7938,0.7471,0.1526,0.1619,0.196,0.2098
Tangshan,PRA,0.7727,0.7004,0.181,0.201,0.2309,0.2847
Tangshan,Phys,0.757,0.7125,0.1515,0.1661,0.1762,0.1921
Tangshan,SIV,0.7862,0.7145,0.1427,0.1504,0.1734,0.1913
Tangshan,TIV,0.9016,0.8222,0.0789,0.087,0.0991,0.12
Tangshan,Teach,0.7574,0.6824,0.1507,0.1611,0.1853,0.2023
Tangshan,UR,0.7901,0.7403,0.1394,0.1615,0.1697,0.1885
Tangshan,URate,0.7587,0.6892,0.1439,0.1665,0.1934,0.2156
Qinhuangdao,AW,0.7868,0.7166,0.1301,0.1537,0.1597,0.1818
Qinhuangdao,Beds,0.843,0.7855,0.0907,0.1032,0.1191,0.1278
Qinhuangdao,Bus,0.8018,0.7338,0.1682,0.194,0.2095,0.2272
Qinhuangdao,DEU,0.7944,0.7214,0.1541,0.1813,0.2029,0.2162
Qinhuangdao,DWU,0.7724,0.7166,0.1921,0.207,0.2295,0.2753
Qinhuangdao,ERV,0.9043,0.8303,0.0612,0.0712,0.071,0.086
Qinhuangdao,ESV,0.7915,0.7411,0.1479,0.1664,0.1818,0.2104
Qinhuangdao,GCBA,0.7575,0.6946,0.1926,0.2118,0.2526,0.2931
Qinhuangdao,GDP,0.7847,0.7382,0.1332,0.1541,0.168,0.1841
Qinhuangdao,GSA,0.767,0.7139,0.1835,0.1953,0.2286,0.2482
Qinhuangdao,HETeach,0.7602,0.7176,0.1773,0.1948,0.2366,0.2536
Qinhuangdao,LFE,0.7497,0.6884,0.1742,0.2007,0.2166,0.2691
Qinhuangdao,PD,0.7457,0.6755,0.1551,0.1639,0.204,0.2287
Qinhuangdao,PIV,0.8035,0.754,0.1324,0.1515,0.1548,0.1882
Qinhuangdao,PRA,0.7895,0.7137,0.1649,0.1828,0.2147,0.2451
Qinhuangdao,Phys,0.7591,0.7037,0.1988,0.2329,0.2355,0.2792
Qinhuangdao,SIV,0.7865,0.7152,0.1276,0.15,0.1563,0.1931
Qinhuangdao,TIV,0.9314,0.8674,0.0429,0.0487,0.0564,0.0653
Qinhuangdao,Teach,0.7794,0.733,0.1808,0.2043,0.2212,0.2329
Qinhuangdao,UR,0.7967,0.7174,0.1719,0.2001,0.1993,0.2244
Qinhuangdao,URate,0.8181,0.7548,0.1493,0.1662,0.1794,0.2237
Handan,AW,0.6395,0.5796,0.3008,0.3523,0.3892,0.447
Handan,Beds,0.7789,0.7118,0.1378,0.1604,0.1723,0.1971
Handan,Bus,0.7153,0.6633,0.1734,0.1932,0.2133,0.2557
Handan,DEU,0.7623,0.7137,0.1748,0.1963,0.2342,0.2671
Handan,DWU,0.7118,0.656,0.1658,0.1814,0.2125,0.2319
Handan,ERV,0.8695,0.7949,0.0724,0.0837,0.0879,0.1083
Handan,ESV,0.7176,0.6431,0.2271,0.252,0.2972,0.3309
Handan,GCBA,0.6781,0.6024,0.1967,0.2349,0.2575,0.2746
Handan,GDP,0.7721,0.72,0.1497,0.176,0.1811,0.2054
Handan,GSA,0.6893,0.6427,0.2551,0.2938,0.3251,0.3755
Handan,HETeach,0.7309,0.6668,0.2171,0.2409,0.2858,0.3059
Handan,LFE,0.6495,0.5803,0.2763,0.2939,0.3481,0.4296
Handan,PD,0.688,0.611,0.1978,0.2338,0.2483,0.2611
Handan,PIV,0.7597,0.6943,0.1691,0.2005,0.2232,0.2462
Handan,PRA,0.7305,0.6896,0.1603,0.1848,0.2034,0.2464
Handan,Phys,0.7248,0.6485,0.2081,0.2242,0.2754,0.3158
Handan,SIV,0.75,0.6808,0.1845,0.2053,0.2419,0.2672
Handan,TIV,0.8709,0.7971,0.0867,0.096,0.1122,0.1233
Handan,Teach,0.7251,0.6502,0.222,0.2548,0.287,0.3129
Handan,UR,0.7682,0.7156,0.177,0.1932,0.2151,0.2395
Handan,URate,0.7614,0.6914,0.1956,0.2071,0.2541,0.2949
Xingtai,AW,0.7328,0.6655,0.199,0.2121,0.2447,0.2651
Xingtai,Beds,0.7926,0.7373,0.1526,0.1672,0.1926,0.2362
Xingtai,Bus,0.7575,0.6987,0.1496,0.1682,0.1787,0.1956
Xingtai,DEU,0.7451,0.6958,0.1894,0.2244,0.2312,0.2779
Xingtai,DWU,0.7156,0.6361,0.1917,0.208,0.2488,0.3057
Xingtai,ERV,0.8695,0.8075,0.0742,0.0847,0.0971,0.1025
Xingtai,ESV,0.7315,0.6817,0.1577,0.1877,0.2019,0.2178
Xingtai,GCBA,0.7074,0.6513,0.2175,0.2361,0.2897,0.3206
Xingtai,GDP,0.7887,0.7434,0.1337,0.1517,0.1686,0.1937
Xingtai,GSA,0.7203,0.647,0.2225,0.2361,0.2607,0.3172
Xingtai,HETeach,0.7201,0.6689,0.1759,0.2005,0.2357,0.2533
Xingtai,LFE,0.7024,0.6257,0.1892,0.1998,0.2326,0.2475
Xingtai,PD,0.7121,0.6616,0.1966,0.2253,0.2541,0.2825
Xingtai,PIV,0.7779,0.7161,0.1534,0.1687,0.1801,0.1949
Xingtai,PRA,0.7636,0.6977,0.18,0.2059,0.2301,0.2758
Xingtai,Phys,0.7461,0.7025,0.2056,0.2257,0.2554,0.2806
Xingtai,SIV,0.7383,0.668,0.2069,0.2227,0.2411,0.2828
Xingtai,TIV,0.8717,0.8295,0.0755,0.0821,0.0913,0.1093
Xingtai,Teach,0.7287,0.6749,0.2056,0.2459,0.2568,0.306
Xingtai,UR,0.7484,0.6698,0.19,0.2092,0.2407,0.2658
Xingtai,URate,0.7834,0.7052,0.1763,0.198,0.2152,0.2493
Baoding,AW,0.7282,0.6795,0.1829,0.2011,0.2118,0.2292
Baoding,Beds,0.8103,0.742,0.1059,0.1164,0.1356,0.1615
Baoding,Bus,0.7363,0.6876,0.174,0.2007,0.2261,0.2817
Baoding,DEU,0.774,0.7177,0.1271,0.143,0.1486,0.163
Baoding,DWU,0.747,0.697,0.2061,0.2251,0.2438,0.2724
Baoding,ERV,0.8695,0.8258,0.1034,0.1121,0.1294,0.1542
Baoding,ESV,0.7629,0.712,0.1625,0.184,0.1998,0.2324
Baoding,GCBA,0.7281,0.682,0.2099,0.2265,0.2803,0.3473
Baoding,GDP,0.7682,0.6902,0.1966,0.2081,0.2468,0.2635
Baoding,GSA,0.7042,0.6476,0.1831,0.1981,0.235,0.2713
Baoding,HETeach,0.737,0.6769,0.2133,0.2425,0.2551,0.2852
Baoding,LFE,0.7464,0.6676,0.1638,0.1756,0.1886,0.2137
Baoding,PD,0.7239,0.6649,0.1899,0.2245,0.243,0.3009
Baoding,PIV,0.7826,0.7316,0.1774,0.2064,0.2158,0.2371
Baoding,PRA,0.7633,0.6861,0.1566,0.1831,0.1897,0.2004
Baoding,Phys,0.7471,0.7051,0.2127,0.246,0.2669,0.3238
Baoding,SIV,0.7766,0.6996,0.1646,0.1796,0.2063,0.2511
Baoding,TIV,0.8695,0.8102,0.0729,0.081,0.0953,0.1155
Baoding,Teach,0.7328,0.6788,0.1805,0.1964,0.223,0.2433
Baoding,UR,0.7821,0.7362,0.169,0.1953,0.2059,0.2573
Baoding,URate,0.7689,0.7098,0.151,0.173,0.1948,0.2199
Zhangjiakou,AW,0.7915,0.7479,0.1406,0.1625,0.1762,0.1888
Zhangjiakou,Beds,0.8567,0.7862,0.0959,0.1147,0.1163,0.13
Zhangjiakou,Bus,0.8159,0.7456,0.1333,0.1476,0.1661,0.195
Zhangjiakou,DEU,0.8255,0.7521,0.1367,0.1457,0.1797,0.2237
Zhangjiakou,DWU,0.7874,0.7144,0.1576,0.1686,0.1851,0.228
Zhangjiakou,ERV,0.9186,0.8718,0.0649,0.0771,0.075,0.0865
Zhangjiakou,ESV,0.8446,0.7731,0.1033,0.1215,0.1307,0.1493
Zhangjiakou,GCBA,0.7685,0.7039,0.1447,0.1716,0.19,0.2238
Zhangjiakou,GDP,0.8537,0.7994,0.1236,0.1334,0.1528,0.1712
Zhangjiakou,GSA,0.7796,0.7268,0.1573,0.1796,0.1811,0.2179
Zhangjiakou,HETeach,0.8051,0.7392,0.1627,0.1749,0.2055,0.252
Zhangjiakou,LFE,0.8069,0.747,0.1477,0.17,0.1717,0.2058
Zhangjiakou,PD,0.7748,0.7026,0.1484,0.1561,0.1737,0.1885
Zhangjiakou,PIV,0.8434,0.7645,0.1038,0.1123,0.1217,0.1284
Zhangjiakou,PRA,0.8186,0.7529,0.106,0.1168,0.1229,0.1391
Zhangjiakou,Phys,0.8198,0.7463,0.1026,0.122,0.1181,0.1461
Zhangjiakou,SIV,0.8363,0.7868,0.128,0.1477,0.1653,0.1933
Zhangjiakou,TIV,0.9395,0.886,0.05,0.0527,0.0593,0.0623
Zhangjiakou,Teach,0.7927,0.7218,0.1242,0.1439,0.1612,0.1948
Zhangjiakou,UR,0.8286,0.7609,0.1062,0.1228,0.1263,0.1415
Zhangjiakou,URate,0.8433,0.7649,0.0949,0.1114,0.1174,0.1281
Chengde,AW,0.8562,0.7931,0.0906,0.1026,0.1145,0.135
Chengde,Beds,0.877,0.8352,0.1014,0.1101,0.1193,0.149
Chengde,Bus,0.841,0.7705,0.115,0.1334,0.1449,0.1702
Chengde,DEU,0.8224,0.7442,0.1165,0.1382,0.1548,0.1915
Chengde,DWU,0.8068,0.7475,0.147,0.1622,0.1975,0.2243
Chengde,ERV,0.9395,0.8864,0.0381,0.0416,0.0508,0.0573
Chengde,ESV,0.859,0.792,0.1052,0.1204,0.1251,0.1381
Chengde,GCBA,0.7904,0.7441,0.1638,0.1901,0.1957,0.2429
Chengde,GDP,0.8624,0.8129,0.1074,0.1193,0.1417,0.156
Chengde,GSA,0.8031,0.758,0.1402,0.1585,0.1665,0.1873
Chengde,HETeach,0.832,0.7688,0.1236,0.1322,0.158,0.1799
Chengde,LFE,0.8181,0.7773,0.1068,0.1176,0.1403,0.1733
Chengde,PD,0.7931,0.7455,0.1707,0.1844,0.2041,0.2454
Chengde,PIV,0.8619,0.8054,0.1129,0.1268,0.1342,0.1427
Chengde,PRA,0.8683,0.8177,0.1053,0.1257,0.1323,0.1506
Chengde,Phys,0.8182,0.7455,0.1387,0.1629,0.1851,0.1969
Chengde,SIV,0.8334,0.765,0.1407,0.1639,0.1884,0.2071
Chengde,TIV,0.9395,0.8976,0.047,0.0536,0.0543,0.0571
Chengde,Teach,0.8193,0.7588,0.1302,0.1374,0.1543,0.1687
Chengde,UR,0.8438,0.7839,0.1131,0.1255,0.1324,0.1489
Chengde,URate,0.8228,0.7741,0.122,0.1371,0.1627,0.1733
Cangzhou,AW,0.7657,0.6895,0.1817,0.2121,0.2328,0.2845
Cangzhou,Beds,0.8018,0.7542,0.168,0.1948,0.1986,0.2252
Cangzhou,Bus,0.738,0.665,0.2155,0.2486,0.2896,0.3588
Cangzhou,DEU,0.7641,0.7133,0.1462,0.1544,0.1959,0.221
Cangzhou,DWU,0.7352,0.6796,0.1604,0.1789,0.2113,0.2382
Cangzhou,ERV,0.8695,0.7985,0.105,0.1245,0.1379,0.153
Cangzhou,ESV,0.774,0.707,0.1868,0.2128,0.2155,0.2431
Cangzhou,GCBA,0.7436,0.6842,0.2018,0.2297,0.2455,0.2689
Cangzhou,GDP,0.8039,0.7559,0.1593,0.1728,0.2064,0.2515
Cangzhou,GSA,0.7347,0.6706,0.1746,0.2,0.2348,0.2898
Cangzhou,HETeach,0.7776,0.7355,0.172,0.1854,0.2197,0.2508
Cangzhou,LFE,0.7424,0.6891,0.1636,0.1821,0.2101,0.2318
Cangzhou,PD,0.7238,0.6626,0.166,0.1777,0.2111,0.2412
Cangzhou,PIV,0.7793,0.7194,0.1725,0.1898,0.2315,0.2793
Cangzhou,PRA,0.7668,0.7204,0.1976,0.2264,0.2663,0.3297
Cangzhou,Phys,0.7762,0.7311,0.1625,0.189,0.202,0.2428
Cangzhou,SIV,0.7611,0.7039,0.189,0.2231,0.2323,0.2872
Cangzhou,TIV,0.8804,0.8236,0.0828,0.0937,0.1048,0.117
Cangzhou,Teach,0.7858,0.7241,0.1459,0.1674,0.1777,0.1894
Cangzhou,UR,0.7769,0.7082,0.1372,0.1452,0.1699,0.2083
Cangzhou,URate,0.7932,0.7198,0.1495,0.1777,0.1757,0.1853
Langfang,AW,0.7672,0.6992,0.1843,0.1952,0.246,0.3057
Langfang,Beds,0.8194,0.7726,0.1064,0.1203,0.1432,0.1557
Langfang,Bus,0.7668,0.698,0.1508,0.168,0.1986,0.2304
Langfang,DEU,0.7812,0.7088,0.1534,0.1788,0.2062,0.2392
Langfang,DWU,0.7617,0.6954,0.1414,0.158,0.1861,0.2118
Langfang,ERV,0.8814,0.8017,0.0857,0.099,0.1071,0.1244
Langfang,ESV,0.8005,0.7325,0.1398,0.1581,0.1711,0.1828
Langfang,GCBA,0.7686,0.7117,0.1315,0.149,0.1627,0.1892
Langfang,GDP,0.8057,0.7375,0.1371,0.1509,0.1656,0.176
Langfang,GSA,0.7687,0.6934,0.1275,0.1379,0.1478,0.158
Langfang,HETeach,0.7893,0.7268,0.1463,0.1674,0.1789,0.2167
Langfang,LFE,0.7624,0.6956,0.1771,0.1931,0.2254,0.2736
Langfang,PD,0.7258,0.6769,0.1951,0.2313,0.236,0.291
Langfang,PIV,0.8016,0.7279,0.1175,0.1326,0.1355,0.1573
Langfang,PRA,0.7615,0.6926,0.1586,0.1849,0.2077,0.2419
Langfang,Phys,0.7774,0.7332,0.147,0.1664,0.188,0.2043
Langfang,SIV,0.7796,0.719,0.1288,0.1453,0.1528,0.1624
Langfang,TIV,0.9087,0.8323,0.0551,0.0614,0.0732,0.087
Langfang,Teach,0.7713,0.6918,0.1854,0.208,0.2432,0.281
Langfang,UR,0.7756,0.7244,0.1892,0.2089,0.2238,0.2677
Langfang,URate,0.805,0.7585,0.1376,0.1474,0.1587,0.1852
Hengshui,AW,0.7705,0.7167,0.1263,0.1385,0.1498,0.1654
Hengshui,Beds,0.7846,0.732,0.1309,0.1487,0.1718,0.1847
Hengshui,Bus,0.7695,0.7127,0.1558,0.165,0.1798,0.2229
Hengshui,DEU,0.7529,0.702,0.1403,0.1614,0.174,0.2046
Hengshui,DWU,0.7418,0.6942,0.1758,0.1969,0.2092,0.2457
Hengshui,ERV,0.8695,0.8108,0.0721,0.0783,0.0842,0.0994
Hengshui,ESV,0.7817,0.7273,0.1796,0.2145,0.216,0.2595
Hengshui,GCBA,0.7278,0.662,0.1999,0.2139,0.235,0.2725
Hengshui,GDP,0.815,0.756,0.1339,0.1485,0.1679,0.1944
Hengshui,GSA,0.7494,0.7011,0.1535,0.1721,0.1887,0.2056
Hengshui,HETeach,0.7609,0.7027,0.1738,0.1959,0.2074,0.2436
Hengshui,LFE,0.7564,0.7125,0.1466,0.1581,0.1832,0.195
Hengshui,PD,0.7164,0.644,0.2278,0.2399,0.2689,0.3145
Hengshui,PIV,0.7889,0.7438,0.1778,0.1893,0.2214,0.2508
Hengshui,PRA,0.7654,0.7103,0.1546,0.1677,0.1963,0.2416
Hengshui,Phys,0.7864,0.7276,0.1755,0.1892,0.2317,0.2662
Hengshui,SIV,0.7766,0.7084,0.1824,0.209,0.2131,0.2283
Hengshui,TIV,0.8977,0.8236,0.0743,0.0818,0.0941,0.0991
Hengshui,Teach,0.7546,0.7071,0.1863,0.2104,0.247,0.3072
Hengshui,UR,0.7733,0.7285,0.1453,0.174,0.1827,0.2083
Hengshui,URate,0.7956,0.7481,0.1516,0.1711,0.1879,0.2102
