attribute,year,original_value,transformed_value
PRA,2026,120.0154,120.0154
PRA,2027,120.6619,120.6619
PRA,2028,121.206,121.206
PRA,2029,121.2968,121.2968
PRA,2030,121.6085,121.6085
Phys,2000,97.0408,97.0408
Phys,2001,92.0798,92.0798
Phys,2002,96.3728,96.3728
Phys,2003,98.2158,98.2158
Phys,2004,99.1456,99.1456
Phys,2005,102.8299,102.8299
Phys,2006,100.0808,100.0808
Phys,2007,104.2396,104.2396
Phys,2008,105.6258,105.6258
Phys,2009,106.9821,106.9821
Phys,2010,108.1228,108.1228
Phys,2011,108.7354,108.7354
Phys,2012,111.4436,111.4436
Phys,2013,113.2968,113.2968
Phys,2014,113.1596,113.1596
Phys,2015,116.3931,116.3931
Phys,2016,112.8172,112.8172
Phys,2017,123.3218,123.3218
Phys,2018,119.8719,119.8719
Phys,2019,119.6242,119.6242
Phys,2020,124.1658,124.1658
Phys,2021,122.2421,122.2421
Phys,2022,126.6945,126.6945
Phys,2023,137.0983,137.0983
Phys,2024,137.563,137.563
Phys,2025,136.9681,136.9681
Phys,2026,137.1822,137.1822
Phys,2027,137.154,137.154
Phys,2028,136.7407,136.7407
Phys,2029,136.9175,136.9175
Phys,2030,136.8795,136.8795
SIV,2000,116.5147,116.5147
SIV,2001,119.0379,119.0379
SIV,2002,117.8188,117.8188
SIV,2003,117.9678,117.9678
SIV,2004,124.8527,124.8527
SIV,2005,120.9488,120.9488
SIV,2006,126.4523,126.4523
SIV,2007,126.6916,126.6916
SIV,2008,129.3701,129.3701
SIV,2009,127.7988,127.7988
SIV,2010,132.0098,132.0098
SIV,2011,132.0011,132.0011
SIV,2012,131.4738,131.4738
SIV,2013,131.8868,131.8868
SIV,2014,134.804,134.804
SIV,2015,135.4623,135.4623
SIV,2016,131.6264,131.6264
SIV,2017,136.769,136.769
SIV,2018,137.6865,137.6865
SIV,2019,136.1807,136.1807
SIV,2020,140.8201,140.8201
SIV,2021,141.0146,141.0146
SIV,2022,145.2479,145.2479
SIV,2023,135.5222,135.5222
SIV,2024,136.2835,136.2835
SIV,2025,137.2414,137.2414
SIV,2026,137.6219,137.6219
SIV,2027,138.6438,138.6438
SIV,2028,139.5839,139.5839
SIV,2029,140.5491,140.5491
SIV,2030,141.5995,141.5995
TIV,2000,100.6322,100.6322
TIV,2001,98.1879,98.1879
TIV,2002,96.0729,96.0729
TIV,2003,97.2213,97.2213
TIV,2004,99.9655,99.9655
TIV,2005,97.7894,97.7894
TIV,2006,97.8813,97.8813
TIV,2007,99.4145,99.4145
TIV,2008,99.7305,99.7305
TIV,2009,102.2854,102.2854
TIV,2010,100.4431,100.4431
TIV,2011,97.9577,97.9577
TIV,2012,100.0422,100.0422
TIV,2013,94.4569,94.4569
TIV,2014,102.6054,102.6054
TIV,2015,98.7111,98.7111
TIV,2016,98.0051,98.0051
TIV,2017,96.4665,96.4665
TIV,2018,99.2026,99.2026
TIV,2019,99.1882,99.1882
TIV,2020,98.7417,98.7417
TIV,2021,97.6854,97.6854
TIV,2022,101.296,101.296
TIV,2023,110.1204,110.1204
TIV,2024,110.772,110.772
TIV,2025,111.6944,111.6944
TIV,2026,112.4987,112.4987
TIV,2027,113.3871,113.3871
TIV,2028,114.0582,114.0582
TIV,2029,114.8544,114.8544
TIV,2030,115.7203,115.7203
Teach,2000,42.7881,42.7881
Teach,2001,41.2714,41.2714
Teach,2002,38.9744,38.9744
Teach,2003,38.705,38.705
Teach,2004,41.5515,41.5515
Teach,2005,38.7185,38.7185
Teach,2006,37.9357,37.9357
Teach,2007,40.3137,40.3137
Teach,2008,41.4214,41.4214
Teach,2009,40.9934,40.9934
Teach,2010,38.4071,38.4071
Teach,2011,39.171,39.171
Teach,2012,40.4279,40.4279
Teach,2013,38.609,38.609
Teach,2014,40.3824,40.3824
Teach,2015,37.0881,37.0881
Teach,2016,38.6851,38.6851
Teach,2017,37.4026,37.4026
Teach,2018,40.2972,40.2972
Teach,2019,41.0269,41.0269
Teach,2020,39.1402,39.1402
Teach,2021,42.5778,42.5778
Teach,2022,39.4628,39.4628
Teach,2023,128.7285,128.7285
Teach,2024,129.1028,129.1028
Teach,2025,129.3208,129.3208
Teach,2026,129.9154,129.9154
Teach,2027,130.287,130.287
Teach,2028,130.7175,130.7175
Teach,2029,131.53,131.53
Teach,2030,131.4706,131.4706
UR,2001,74.01,3.8407
UR,2002,77.8507,-1.6298
UR,2003,76.2209,1.5222
UR,2004,77.7431,1.8541
UR,2005,79.5972,-4.1778
UR,2006,75.4194,1.6719
UR,2007,77.0913,3.279
UR,2008,80.3702,-0.3625
UR,2009,80.0077,-7.5686
UR,2010,72.4391,3.3181
UR,2011,75.7572,-3.463
UR,2012,72.2941,4.4267
UR,2013,76.7208,-3.2054
UR,2014,73.5154,0.9681
UR,2015,74.4835,-1.0243
UR,2016,73.4592,-1.0671
UR,2017,72.3922,-0.38
UR,2018,72.0122,-0.7707
UR,2019,71.2415,-2.7879
UR,2020,68.4536,-0.8387
UR,2021,67.6149,3.8139
UR,2022,71.4288,-10.1712
UR,2023,61.2576,64.2491
UR,2024,125.5068,0.8122
UR,2025,126.319,0.5055
UR,2026,126.8245,0.3919
UR,2027,127.2164,0.5584
UR,2028,127.7748,0.4805
UR,2029,128.2552,0.9266
UR,2030,129.1818,0.4443
URate,2001,88.6398,-0.8698
URate,2002,87.77,0.0774
URate,2003,87.8474,6.9199
URate,2004,94.7674,6.9541
URate,2005,101.7215,-5.8441
URate,2006,95.8775,4.9081
URate,2007,100.7856,0.1792
URate,2008,100.9648,-0.1937
URate,2009,100.7711,2.1423
URate,2010,102.9133,4.4946
URate,2011,107.4079,0.7252
URate,2012,108.1331,-0.514
URate,2013,107.6191,0.1407
URate,2014,107.7598,-0.6
URate,2015,107.1598,0.7341
URate,2016,107.8939,2.7574
URate,2017,110.6513,3.5234
URate,2018,114.1746,-0.419
URate,2019,113.7557,3.6685
URate,2020,117.4242,1.3257
URate,2021,118.7499,-3.7214
URate,2022,115.0285,5.8435
URate,2023,120.872,0.9332
URate,2024,121.8052,0.2441
URate,2025,122.0492,0.9035
URate,2026,122.9527,0.2994
URate,2027,123.2521,1.1758
URate,2028,124.4278,0.6737
URate,2029,125.1015,0.4192
URate,2030,125.5208,0.8353
